V,R,0,0,0,0,6,6,9,12,15,18,20,
V,E,0,0,0,0,6,6,9,12,15,18,20,
V,N,0,0,0,0,6,6,9,12,15,18,20,
V,B,0,0,0,0,6,6,9,12,15,18,20,
V,S,0,0,0,0,6,6,9,12,15,18,20,
V,Y,0,0,0,0,6,6,9,12,15,18,20,
V,Z,0,0,0,0,6,6,9,12,15,18,20,
E,R,S,4,-6,-8,-6,4,11,10,-4,-13,-15,1,15,21,3,-18,-32,-11,21,48,24,-24,-79,-52,30,152,128,-47,-413,-419,320,3713,9657,
E,R,C,18,10,22,17,26,15,22,10,16,1,10,-7,-8,-44,-68,-118,-140,-179,-163,-217,-282,-418,-531,-557,-237,71,592,1153,-1711,-6857,2001,20768,
E,E,S,-67,-74,-96,-117,-83,27,165,256,201,-25,-1004,-446,-421,-209,112,341,357,132,-373,-780,-379,552,845,584,835,932,-415,-1681,-744,799,532,16221,
E,E,C,-68,-74,-96,-117,-83,27,165,256,201,-25,-1004,-446,-421,-209,112,341,357,132,-373,-780,-379,552,845,584,835,932,-415,-1681,-744,799,532,16221,
E,N,S,-69,-74,-96,-117,-83,27,165,256,201,-25,-1004,-446,-421,-209,112,341,357,132,-373,-780,-379,552,845,584,835,932,-415,-1681,-744,799,532,16221,
E,N,C,-70,-74,-96,-117,-83,27,165,256,201,-25,-1004,-446,-421,-209,112,341,357,132,-373,-780,-379,552,845,584,835,932,-415,-1681,-744,799,532,16221,
E,B,S,-71,-74,-96,-117,-83,27,165,256,201,-25,-1004,-446,-421,-209,112,341,357,132,-373,-780,-379,552,845,584,835,932,-415,-1681,-744,799,532,16221,
E,B,C,-72,-74,-96,-117,-83,27,165,256,201,-25,-1004,-446,-421,-209,112,341,357,132,-373,-780,-379,552,845,584,835,932,-415,-1681,-744,799,532,16221,
E,S,S,-73,-74,-96,-117,-83,27,165,256,201,-25,-1004,-446,-421,-209,112,341,357,132,-373,-780,-379,552,845,584,835,932,-415,-1681,-744,799,532,16221,
E,S,C,-74,-74,-96,-117,-83,27,165,256,201,-25,-1004,-446,-421,-209,112,341,357,132,-373,-780,-379,552,845,584,835,932,-415,-1681,-744,799,532,16221,
E,Y,S,-73,-74,-96,-117,-83,27,165,256,201,-25,-1004,-446,-421,-209,112,341,357,132,-373,-780,-379,552,845,584,835,932,-415,-1681,-744,799,532,16221,
E,Y,C,-74,-74,-96,-117,-83,27,165,256,201,-25,-1004,-446,-421,-209,112,341,357,132,-373,-780,-379,552,845,584,835,932,-415,-1681,-744,799,532,16221,
E,Z,S,-73,-74,-96,-117,-83,27,165,256,201,-25,-1004,-446,-421,-209,112,341,357,132,-373,-780,-379,552,845,584,835,932,-415,-1681,-744,799,532,16221,
E,Z,C,-74,-74,-96,-117,-83,27,165,256,201,-25,-1004,-446,-421,-209,112,341,357,132,-373,-780,-379,552,845,584,835,932,-415,-1681,-744,799,532,16221,
